station_id,name,address,lat,lon,capacity,points_of_interests,public_tansport,nearest_beach,distance_to_beach_m,rent_num,depo_num,night_rent_num,morning_rent_num,afternoon_rent_num,evening_rent_num,bilans,total_activity,turnover_rate,morning_ratio,evening_ratio,afternoon_ratio
4903,GDA369,Lawendowe wzgórze,54.328892,18.568796,13,1,0,Plaza Brzezno - Molo,10086.200070506831,4857,4765,617,1365,2108,768,-92,9622,740.1538461538462,0.2810376775787523,0.15812229771463868,0.4340127650813259
4902,GDA368,Warszawska,54.331717,18.570822,11,0,6,Plaza Brzezno - Molo,9745.882766185068,3800,3648,458,1044,1679,623,-152,7448,677.0909090909091,0.27473684210526317,0.16394736842105262,0.44184210526315787
4901,GDA364,"Sobieszewo, Turystyczna",54.3439594,18.8305346,27,1,0,Plaza Sobieszewo,1305.1162242275989,2491,2029,34,846,1329,284,-462,4520,167.40740740740742,0.33962264150943394,0.11401043757527098,0.5335206744279406
4900,GDA365,"Sobieszewo, Boguckiego",54.33499,18.933902,32,0,2,Plaza Swibno,2109.564040127311,1588,1358,24,539,832,193,-230,2946,92.0625,0.3394206549118388,0.12153652392947104,0.5239294710327456
4868,GDA377,Gdańsk Rębiechowo,54.3872159,18.4461948,10,0,3,Plaza Sopot,10481.838826054543,710,450,42,195,393,81,-260,1160,116,0.2746478873239437,0.11408450704225352,0.5535211267605634
4867,GDA367,skrzyżowanie Adamowicza/Kartuska,54.338218,18.572119,10,0,4,Plaza Brzezno - Molo,9042.196606001016,2433,2174,222,660,1105,447,-259,4607,460.7,0.2712700369913687,0.18372379778051787,0.4541718043567612
3862,GDA034,"Bolesława Krzywoustego 19, 80-360 Gdańsk",54.412794,18.5811569,10,0,0,Plaza Jelitkowo,1840.7492918961304,2235,1962,410,776,814,289,-273,4197,419.7,0.3472035794183445,0.12930648769574943,0.3642058165548098
3863,GDA035,"Bolesława Krzywoustego 20A, 80-360 Gdańsk",54.4132809,18.584921,10,0,0,Plaza Jelitkowo,1660.6038000820229,3508,3268,396,1334,1470,388,-240,6776,677.6,0.38027366020524517,0.11060433295324971,0.41904218928164194
3864,GDA036,"Czerwony Dwór 26, 80-383 Gdańsk",54.4117088,18.5844151,10,4,0,Plaza Jelitkowo,1828.5660020330424,4545,4447,509,1784,1835,537,-98,8992,899.2,0.3925192519251925,0.11815181518151815,0.40374037403740376
3865,GDA037,"Chłopska 41, 80-349 Gdańsk",54.4116514,18.5875389,10,2,2,Plaza Jelitkowo,1745.891341077673,3759,3646,185,1661,1495,476,-113,7405,740.5,0.4418728385208832,0.1266294227188082,0.3977121574886938
3866,GDA038,"Generała T. Bora-Komorowskiego 31, 80-377 Gdańsk",54.4090882,18.5861307,10,4,2,Plaza Jelitkowo,2044.0636194024496,4573,4029,427,1412,2070,803,-544,8602,860.2,0.30876886070413295,0.1755958889131861,0.45265689919090313
3867,GDA039,"Chłopska 34A, 80-368 Gdańsk",54.4136227,18.5880968,10,1,1,Plaza Jelitkowo,1530.8510886033248,3866,3773,439,1343,1596,548,-93,7639,763.9,0.3473874806001035,0.14174857734092086,0.4128297982410761
3868,GDA040,"Chłopska 34D, 80-358 Gdańsk",54.4159087,18.5876723,10,0,3,Plaza Jelitkowo,1318.4656645214782,5931,5764,809,1884,2507,881,-167,11695,1169.5,0.317653009610521,0.14854156128814702,0.4226943179902209
3869,GDA041,"Piastowska 100D, 80-358 Gdańsk",54.4169893,18.5915682,10,2,0,Plaza Jelitkowo,1097.69839462056,8636,8066,946,3104,3722,1092,-570,16702,1670.2,0.35942566002779064,0.12644742936544698,0.43098656785548867
3870,GDA042,"Kapliczna 18, 80-341 Gdańsk",54.4217508,18.6016453,10,2,3,Plaza Jelitkowo,537.3542291745727,14846,14380,417,3799,7890,2850,-466,29226,2922.6,0.2558938434595177,0.19197090125286273,0.5314562845210831
3871,GDA043,Prezydenta Lecha Kaczyńskiego 4A,54.4160978,18.5964168,10,0,0,Plaza Jelitkowo,1118.3699427078034,5461,5317,534,2004,2268,732,-144,10778,1077.8,0.3669657571873283,0.1340413843618385,0.41530855154733565
3872,GDA044,"Prezydenta Lecha Kaczyńskiego 16, 80-365 Gdańsk",54.4150283,18.6011302,10,0,0,Plaza Jelitkowo,1248.1355717384008,7333,7467,282,2443,3548,1106,134,14800,1480,0.33315150688667666,0.15082503750170462,0.4838401745533888
3873,GDA045,"Jagiellońska 7, 80-371 Gdańsk",54.4131106,18.5925311,10,3,2,Plaza Jelitkowo,1489.0708657440591,8880,8787,1247,2864,3780,1148,-93,17667,1766.7,0.3225225225225225,0.1292792792792793,0.42567567567567566
3874,GDA046,"Jagiellońska 36A, 80-367 Gdańsk",54.413656,18.598089,10,4,2,Plaza Jelitkowo,1384.8228874447364,1479,1136,153,554,648,189,-343,2615,261.5,0.3745774171737661,0.12778904665314403,0.4381338742393509
3875,GDA047,"Jagiellońska 10M, 80-371 Gdańsk",54.4122016,18.5885344,10,2,5,Plaza Jelitkowo,1664.8174916387677,6049,5881,654,2236,2441,892,-168,11930,1193,0.3696478756819309,0.1474623904777649,0.4035377748388163
